Tick 1113287(1112825), Delay 10 ms, IGT 15:27:18.568, RTA 97:34:57.535-97:34:57.545
Tick 1113316(1112854), Delay 135 ms, IGT 15:27:20.018, RTA 97:34:58.943-97:34:59.078
Tick 1113317(1112855), Delay 0 ms, IGT 15:27:20.068, RTA 97:34:59.078-97:34:59.078
Tick 1113318(1112856), Delay 17 ms, IGT 15:27:20.118, RTA 97:34:59.078-97:34:59.095
Tick 1113329(1112867), Delay 64 ms, IGT 15:27:20.668, RTA 97:34:59.596-97:34:59.660
Tick 1113330(1112868), Delay 34 ms, IGT 15:27:20.718, RTA 97:34:59.660-97:34:59.694
Tick 1113349(1112887), Delay 138 ms, IGT 15:27:21.668, RTA 97:35:00.594-97:35:00.732
Tick 1113350(1112888), Delay 0 ms, IGT 15:27:21.718, RTA 97:35:00.732-97:35:00.732
Tick 1113351(1112889), Delay 14 ms, IGT 15:27:21.768, RTA 97:35:00.732-97:35:00.746
Tick 1113406(1112944), Delay 77 ms, IGT 15:27:24.518, RTA 97:35:03.445-97:35:03.522
Tick 1113407(1112945), Delay 22 ms, IGT 15:27:24.568, RTA 97:35:03.522-97:35:03.544
Tick 1113428(1112966), Delay 44848 ms, IGT 15:27:25.618, RTA 97:35:04.544-97:35:49.392
Tick 1113618(1113156), Delay 55 ms, IGT 15:27:35.118, RTA 97:35:58.843-97:35:58.898
Tick 1113619(1113157), Delay 43 ms, IGT 15:27:35.168, RTA 97:35:58.898-97:35:58.941
Tick 1113637(1113175), Delay 45 ms, IGT 15:27:36.068, RTA 97:35:59.795-97:35:59.840
Tick 1113641(1113179), Delay 56 ms, IGT 15:27:36.268, RTA 97:35:59.991-97:36:00.047
Tick 1113707(1113245), Delay 230665 ms, IGT 15:27:39.568, RTA 97:36:03.293-97:39:53.958
Tick 1113729(1113267), Delay 122 ms, IGT 15:27:40.668, RTA 97:39:55.006-97:39:55.128
Tick 1113730(1113268), Delay 0 ms, IGT 15:27:40.718, RTA 97:39:55.128-97:39:55.128
Tick 1113731(1113269), Delay 29 ms, IGT 15:27:40.768, RTA 97:39:55.128-97:39:55.157
Tick 1113766(1113304), Delay 111 ms, IGT 15:27:42.518, RTA 97:39:56.856-97:39:56.967
Tick 1113767(1113305), Delay 0 ms, IGT 15:27:42.568, RTA 97:39:56.967-97:39:56.967
Tick 1113768(1113306), Delay 38 ms, IGT 15:27:42.618, RTA 97:39:56.967-97:39:57.005
Tick 1113784(1113322), Delay 108 ms, IGT 15:27:43.418, RTA 97:39:57.756-97:39:57.864
Tick 1113785(1113323), Delay 1 ms, IGT 15:27:43.468, RTA 97:39:57.864-97:39:57.865
Tick 1113786(1113324), Delay 42 ms, IGT 15:27:43.518, RTA 97:39:57.865-97:39:57.907
Tick 1113807(1113345), Delay 106 ms, IGT 15:27:44.568, RTA 97:39:58.908-97:39:59.014
Tick 1113808(1113346), Delay 0 ms, IGT 15:27:44.618, RTA 97:39:59.014-97:39:59.014
Tick 1113809(1113347), Delay 43 ms, IGT 15:27:44.668, RTA 97:39:59.014-97:39:59.057
Tick 1113828(1113366), Delay 109 ms, IGT 15:27:45.618, RTA 97:39:59.956-97:40:00.065
Tick 1113829(1113367), Delay 0 ms, IGT 15:27:45.668, RTA 97:40:00.065-97:40:00.065
Tick 1113830(1113368), Delay 42 ms, IGT 15:27:45.718, RTA 97:40:00.065-97:40:00.107
Tick 1113848(1113386), Delay 108 ms, IGT 15:27:46.618, RTA 97:40:00.957-97:40:01.065
Tick 1113849(1113387), Delay 0 ms, IGT 15:27:46.668, RTA 97:40:01.065-97:40:01.065
Tick 1113850(1113388), Delay 42 ms, IGT 15:27:46.718, RTA 97:40:01.065-97:40:01.107
Tick 1113888(1113426), Delay 107 ms, IGT 15:27:48.618, RTA 97:40:02.956-97:40:03.063
Tick 1113889(1113427), Delay 0 ms, IGT 15:27:48.668, RTA 97:40:03.063-97:40:03.063
Tick 1113890(1113428), Delay 43 ms, IGT 15:27:48.718, RTA 97:40:03.063-97:40:03.106
Tick 1113914(1113452), Delay 108 ms, IGT 15:27:49.918, RTA 97:40:04.257-97:40:04.365
Tick 1113915(1113453), Delay 0 ms, IGT 15:27:49.968, RTA 97:40:04.365-97:40:04.365
Tick 1113916(1113454), Delay 43 ms, IGT 15:27:50.018, RTA 97:40:04.365-97:40:04.408
Tick 1113993(1113531), Delay 106 ms, IGT 15:27:53.868, RTA 97:40:08.207-97:40:08.313
Tick 1113994(1113532), Delay 0 ms, IGT 15:27:53.918, RTA 97:40:08.313-97:40:08.313
Tick 1113995(1113533), Delay 43 ms, IGT 15:27:53.968, RTA 97:40:08.313-97:40:08.356
Tick 1114019(1113557), Delay 103 ms, IGT 15:27:55.168, RTA 97:40:09.509-97:40:09.612
Tick 1114020(1113558), Delay 0 ms, IGT 15:27:55.218, RTA 97:40:09.612-97:40:09.612
Tick 1114021(1113559), Delay 43 ms, IGT 15:27:55.268, RTA 97:40:09.612-97:40:09.655
Tick 1114038(1113576), Delay 103 ms, IGT 15:27:56.118, RTA 97:40:10.458-97:40:10.561
Tick 1114039(1113577), Delay 0 ms, IGT 15:27:56.168, RTA 97:40:10.561-97:40:10.561
Tick 1114056(1113594), Delay 106 ms, IGT 15:27:57.018, RTA 97:40:11.358-97:40:11.464
Tick 1114057(1113595), Delay 0 ms, IGT 15:27:57.068, RTA 97:40:11.464-97:40:11.464
Tick 1114058(1113596), Delay 43 ms, IGT 15:27:57.118, RTA 97:40:11.464-97:40:11.507
Tick 1114078(1113616), Delay 104 ms, IGT 15:27:58.118, RTA 97:40:12.458-97:40:12.562
Tick 1114079(1113617), Delay 0 ms, IGT 15:27:58.168, RTA 97:40:12.562-97:40:12.562
Tick 1114195(1113733), Delay 108 ms, IGT 15:28:03.968, RTA 97:40:18.305-97:40:18.413
Tick 1114196(1113734), Delay 0 ms, IGT 15:28:04.018, RTA 97:40:18.413-97:40:18.413
Tick 1114197(1113735), Delay 43 ms, IGT 15:28:04.068, RTA 97:40:18.413-97:40:18.456
Tick 1114224(1113762), Delay 103 ms, IGT 15:28:05.418, RTA 97:40:19.758-97:40:19.861
Tick 1114225(1113763), Delay 1 ms, IGT 15:28:05.468, RTA 97:40:19.861-97:40:19.862
Tick 1114240(1113778), Delay 104 ms, IGT 15:28:06.218, RTA 97:40:20.557-97:40:20.661
Tick 1114241(1113779), Delay 0 ms, IGT 15:28:06.268, RTA 97:40:20.661-97:40:20.661
Tick 1114242(1113780), Delay 45 ms, IGT 15:28:06.318, RTA 97:40:20.661-97:40:20.706
Tick 1114254(1113792), Delay 103 ms, IGT 15:28:06.918, RTA 97:40:21.259-97:40:21.362
Tick 1114255(1113793), Delay 0 ms, IGT 15:28:06.968, RTA 97:40:21.362-97:40:21.362
Tick 1114274(1113812), Delay 108 ms, IGT 15:28:07.918, RTA 97:40:22.256-97:40:22.364
Tick 1114275(1113813), Delay 0 ms, IGT 15:28:07.968, RTA 97:40:22.364-97:40:22.364
Tick 1114276(1113814), Delay 43 ms, IGT 15:28:08.018, RTA 97:40:22.364-97:40:22.407
Tick 1114289(1113827), Delay 107 ms, IGT 15:28:08.668, RTA 97:40:23.006-97:40:23.113
Tick 1114290(1113828), Delay 0 ms, IGT 15:28:08.718, RTA 97:40:23.113-97:40:23.113
Tick 1114291(1113829), Delay 43 ms, IGT 15:28:08.768, RTA 97:40:23.113-97:40:23.156
Tick 1114307(1113845), Delay 103 ms, IGT 15:28:09.568, RTA 97:40:23.909-97:40:24.012
Tick 1114308(1113846), Delay 0 ms, IGT 15:28:09.618, RTA 97:40:24.012-97:40:24.012
